Artist;Titel;Anm;LP-nr;Pris
Status Quo;Dog of two Head;VG-NM/VG-NM;LP 0515;350
Nazareth;Razamanaz;VG/VG-NM;LP 0516;180
Paul McCartney and Wings;Band on the run;VG-NM/VG-NM       RSM418;LP 0519;180
Nazareth;Rampant;VG-NM/NM;LP 0521;250
Cat Stevens;Teaser and the Firecat;VG/VG-NM;LP 0524;90
Talking Heads;Naked;VG/VG;LP 0526;150
Elvis Presley;Elvis in Concert;G-VG/VG-NM;LP 0527;120
Blood Sweat & Tears ;Greatet Hits;VG/VG;LP 0528;90
Dave Clark Five;Play Good Old Rock & Roll;G-VG/VG;LP 0529;120
Rod Stewart;Sing it again Rod;VG/VG-NM;LP 0530;250
Searchers;Attention;VG/VG-NM;LP 0532;90
Alphaville;Afternoon in Utopia;VG/VG;LP 0533;90
Nazareth;Load ´N´ Proud;VG/VG-NM;LP 0534;180
Cilla Black;Day by Day;VG/VG;LP 0535;90
Jon Anderson;In the City of Angels;G-VG/VG-NM;LP 0536;120
Arlo Guthrie;One Night;VG/VG;LP 0537;50
Elvis Costello;Imperial bedroom;VG/VG-NM;LP 0538;120
Jerry Lee Lewis;Live in Italy at the Rolling Stone;VG/VG-NM;LP 0539;150
Shadows;Four Sides of ;VG/NM;LP 0540;120
Cindy Lauper;A night to remember;VG-NM/G-VG;LP 0541;90
Leo Sayer;Just a boy;G-VG/VG;LP 0543;50
Rainbow;Straight between the eyes;VG/VG;LP 0545;120
Beach Boys;Good Vibrations;VG/G-VG (repa sid A:1);LP 0548;50
Kim Wilde;Select;G-VG/VG;LP 0550;90
Yes;90125;VG-NM/NM;LP 0551;180
Big Country;The seer;VG-NM/VG-NM;LP 0553;90
Moody Blues;Every good boy deserves favour;G/VG;LP 0554;50
XTC ;Skylarking;VG/VG;LP 0555;180
Blood Sweat&Tears;Greatest Hits (1972);G/VG;LP 0559;50
Be-Bop Deluxe;Drastic Plastic;VG/VG;LP 0560;90
Cher ;With Love;VG/NM      (1st print);LP 0561;210
Cher;I´d rather believe in you;VG/VG      (1st print);LP 0562;120
Art Garfunkel;Fate for breakfast;NM/NM;LP 0563;120
Art Garfunkel;Watermark;NM/NM;LP 0564;120
Simon and Garfunkel;Bridge over trouble water;NM/NM;LP 0565;450
Paul Simon;Paul Simon;NM/NM;LP 0566;180
Paul Simon;There Goes Rhymin´Simon;NM/VG;LP 0567;150
Leo Sayer;Thunder in my heart;VG-NM/VG-NM;LP 0568;50
Gladys Knight & The Pips;2nd anniversery;VG-NM/VG-NM;LP 0569;50
Bonnie Tyler;Natural force;VG-NM/VG-NM;LP 0570;90
Neil Diamond;His 12 Greatest Hits;VG-NM/VG-NM;LP 0572;50
TOTO;Isolation;VG/VG;LP 0574;50
Don McLean;Tapesetry;VG/VG-NM;LP 0575;50
Hollies;The Hollies Greatest;VG-NM/NM;LP 0578;210
Walker Brothers;I need you;VG-NM/NM;LP 0580;80
Zombies;The beginning;VG-NM/NM;LP 0581;250
Dave, Dee, Dozy, Beaky, Mick & Tich;Greatest Hits;VG-NM/NM;LP 0582;120
Amanda Lear;Never trust a pretty face;VG-NM/VG-NM;LP 0583;50
Bonnie Tyler;The world starts tonight;NM/NM;LP 0584;90
Peter, Paul and Mary;Ten Years together;NM/VG-NM;LP 0585;90
Ellie Greenwich;Let it be written … Let it be sung;VG-NM/NM;LP 0586;120
Elvis Presley;King Creole;VG-NM/VG-NM;LP 0587;120
Elvis Presley;Loving you;VG-NM/NM;LP 0588;120
Elvis Presley;The Sun Collection;VG-NM/NM;LP 0589;250
Elvis Presley;The 56 sessions Volume 1;NM/NM;LP 0591;90
Million Dollar Quartet;The Million Dollar Quartet;NM/NM;LP 0593;500
John Denver;Windsongs;VG/VG;LP 0595;50
Ratt;Reach for the sky;VG/VG-NM;LP 0596;120
Call;Red Moon;VG/VG;LP 0598;50
Madonna;I´m breathless;VG/NM;LP 0599 ;150
Walker brothers;Portrait;VG/VG-NM;LP 0600;250
Paul Young;Between Two Fires;VG/VG-NM;LP 0601;50
Randy Crawford;Nightline;VG/VG;LP 0603;50
Europe;Out of this world;VG/VG;LP 0605;120
88:Komaflash;Eindringlicht;VG-NM/VG-NM OBS EP;LP 0606;50
GANTS ;Again   (1st US press 1966);VG/VG;LP 0607;500
Various artists;Motown chartbusters vol.3;VG/VG;LP 0608;120
Bruce Springsteen;Greetings from Asbury Park;VG/VG;LP 0609;120
Temptation;Surface Thrills (1st US press 83);G-VG/VG;LP 0610;90
Paul Simon;The rhythm of the Saints;VG/VG-NM;LP 0611;90
Ike & Tina Turner;Delilah´s Power;G-VG/VG-NM;LP 0612;50
Ventures;Swamp rock;G-VG/G-VG;LP 0614;120
Hanne Boel;Dark Passion;VG-NM/VG-NM;LP 0615;50
Paul McCartney;Give my regards to Broad Street;VG/VG;LP 0616;90
Wild Blue Yonder;Crystal Lewis and Wild Blue Yonder;VG-NM/NM;LP 0617;150
Breakfast Club;Breakfast Club;VG/VG-NM;LP 0618;50
Joan Baez;The Contemporary Ballad Book;G/VG-NM;LP 0619;120
CCS;RAK;G-VG/VG;LP 0620;180
Donovan;Universal Soldier;VG/VG;LP 0623;90
FRESH ;Fresh Out of Borstal;G/VG;LP 0624;90
Tina Turner;Mini;VG/VG-NM;LP 0625;50
Bodine;Bold as Brass;G-VG/VG;LP 0626;90
Mark Andrews and the Gents;Big Boy;VG/VG;LP 0628;50
Jimmy Cliff;In concert the best of;G/VG;LP 0630;50
Aretha Franklin;Jump to it;VG-NM/VG-NM;LP 0632;50
Eric Clapton;Big Boss Man;VG/NM;LP 0636;120
Various ? artists;Sonet Og Vi Unge Præsenterer;VG/NM;LP 0637;50
Sugar;Sugar & Spice;VG/VG;LP 0639;90
Little Richard;Megatoons mix;G/G-VG;LP 0641;50
Cinderella;Heartbreak Station;VG/VG;LP 0643;290
WHO;Meaty, Beaty Big & Bouncey;VG/VG;LP 0644;290
WHO;Odds & Sods;VG/VG;LP 0645;90
Black Sabbath;Never Say Die;NM/NM;LP 0648;250
Bruce Springsteen;57 Channels (and nothin on);Unbroken seal    12” single;LP 0649;90
Depeche Mode;Black Celebration;VG/VG;LP 0650;290
Zed Yago;Pilgrimage;VG/NM;LP 0651;120
Bill Haley;The Bill Haley Collection;VG/VG;LP 0652;90
Dart;Everyone plays Darts;G/VG;LP 0661;50
Dart;Dart attack;VG/VG;LP 6062;50
Various artists;Wham Glam thank you Mam 72-75;VG/VG;LP 0663;50
Ricky Nelson;All my best;VG/VG;LP 0664;90
Various artists;Essential soul;VG/VG-NM;LP 0665;90
Weather Report;Tale Spinnin;G/VG;LP 0666;90
Cat Stevens;The Collection;VG/VG-NM;LP 0667;90
Madonna ;Who´s that girl;VG/VG;LP 0668;90
Paul Young;The secret of association;VG/VG;LP 0669;50
Ron Wood;Gimme some neck;VG/NM  (Japan realese);LP 0670;350
U2;R.o.k;NM/NM (maxi-singel);LP 0671;120
Baby Grand;Baby Grand;VG/VG;LP 0673;90
Bee Gees;Golden Serie International;VG/VG-NM;LP 0674;90
Los Lobos;By the light of the moon;NM/NM;LP 0675;180
Bob Geldof;Deep in the heart of nowhere;VG-NM/VG-NM;LP 0676;120
SPK;Metal Dance;C-VG/VG-NM;LP 0678;90
Neil Diamond ;12 greatest hits Vol II;VG/VG-NM;LP 0679;90
Ian McLagan;Troublemaker;VG-NM/VG-NM;LP 0680;50
Rod Stewart;Every Beat of my heart;VG/VG;LP 0681;50
Eric Carmen;Eric Carmen;VG/VG;LP 0683;50
Chaka Khan;I feel for you;VG/VG-NM;LP 0685;90
Sly Slick And Wicked;Sly Slick And Wicked;VG/VG-NM;LP 0687;120
Smokie;Greatest Hits;G-VG/VG;LP 0688;90
Amazulu;Amazulu;VG/VG-NM;LP 0690;90
La Revolution Francaise;Rock Opera;VG/VG;LP 0693;150
Hollies;The Hollies;VG/VG-NM;LP 0694;120
Fox;Fox;G-VG-VG;LP 0695;90
Berlin;Count Three & Pray;VG/VG-NM;LP 0696;120
Whitney Houston;I´m Your Baby Tonight;NM/NM;LP 0697;120
Danny Wilde;Any man´s hunger;VG-NM/VG;LP 0698;50
Time Bandits;Fiction;VG/VG;LP 0699;50
Robin Gibb;How old are You;VG-NM/VG-NM;LP 0700;90
Jennifer Rush;Wings of desire;VG-NM/VG-NM;LP 0701;50
Everly Brothers;Collection;VG/VG;LP 0702;90
Status Quo;On the level;G-VG/VG-NM;LP 0703;90
Scorpions;Animal Magnetism;G-VG/VG;LP 0705;120
Bruce Springsteen;Darkness on the edge of town;VG-NM/VG-NM;LP 0706;180
Dee Dee Bridgewater;Victime of Love;VG/VG;LP 0708;90
Steve Winwood;ARC of a diver;VG/G-VG;LP 0713;50
Electric Light Orchestra;On the Third Day;G/VG;LP 0716;150
David Bowie/Mick Jagger;Dancing in the street;VG/VG-NM    (12” single);LP 0717;90
T Rex;Great Hits;G/G-VG;LP 0718;90
Jackson 5;Victory;G/VG;LP 0719;50
Eric Clapton;Backtrackin´;VG/VG;LP 0720;120
Steve Stevens;Atomic Playboys;VG-NM/VG-NM;LP 0721;150
George Michael;Listen Without Prejudice;G-VG/NM;LP 0722;290
Sade;Stronger than Pride;VG-NM/VG-NM;LP 0724;180
Mott;Shouting & Pointing;VG/VG-NM;LP 0725;90
Kinks;Spotlight on The Kinks Vol 2;VG/NM;LP 0726;90
Simply Red;Men and Woman;VG/NM;LP 0727;50
Kim Larsen;Sitting on a time bomb;VG/VG-NM;LP 0728;120
Kim Larsen;&Yankee drengene;VG/NM;LP 0729;120
Debbie Harry;Rockbird;VG/VG;LP 0731;90
Japan;Exorcising Ghosts;VG-NM/NM;LP 0732;180
Various artists;Sgt Peppers;VG-NM/NM;LP 0733;120
Yardbirds;For your love;G-NM/NM;LP 0737;90
Animals;Anthology;VG/NM;LP 0739;220
Janis Joplin;Joplin in concert;G-VG/G-VG;LP 0740;250
Bangles;Everything;NM/NM;LP 0742;50
Procul Harum;Salty Dog;VG/VG;LP 0743;50
Mamas and the Papas;People like us;VG/VG-NM;LP 0744;90
Long Ryders;State of our union;VG/VG;LP 0746;90
WHO;Tommy;G-VG/VG;LP 0747;150
Mamas and the Papas;16 of their greatest hits;VG-NM/NM;LP 0748;120
Moody Blues;This is the Moody Blues;NM/NM;LP 0750;290
Enya;Shepherd Moons;VG-NM/NM;LP 0751;150
Anne Linnet;Jeg er jo lige her;G-VG/VG-NM;LP 0752;120
Kinks;Golden Hour of the Kinks;VG/NM-Mint;LP 0754;120
Hothouse flowers;Home;VG-NM/VG;LP 0756;90
George Harrison;Somewhere in England. (Sealed);1981 US original.  Cut-out;LP 0758;250
Tom Tom Club;The pleasure of Love;Mint/Mint     12” single 45rpm;LP 0760;90
Gary Moore;Over the Hills and far away;NM/NM;LP 0761;50
Enya;Watermark;NM/NM;LP 0762;180
AC/DC;Powerage;VG/VG;LP 0764;150
